jobName,companyName,salary,experience,place,companySize,special,school,description
程式設計師 / 資深程式設計師(商品評價研發部),寶碩財務科技股份有限公司,面議,2年以上,台北市內湖區,員工170人,上市上櫃,大學,"1、現有系統的程式開發及維護：WEB(三層式架構)及AP(Client/Server架構)
2、系統文件撰寫
3、學習及導入新技術，參與新系統開發
出差外派：視專案情況需求"
.NET MVC 資深程式設計師,汎卓科技股份有限公司,面議,2年以上,台北市中山區,員工20人,,大學,"1. 熟悉 ASP.NET MVC與C# 及開發經驗
2. 熟悉 Javascript 與 jQuery
3. 熟悉MS SQL語法
4. 熟悉Microsoft Azure
5. 能獨立建置程式網站，有金物流串接經驗尤佳。
6. 具創意，負責任，善溝通，可獨立執行交辦任務
7. 對程式設計有熱誠，喜歡探索程式本質的開發人員，具2年以上開發經驗"
SAP工程師/主管,三商家購_三商行股份有限公司,面議,3年以上,台北市中山區,,,專科,"1.SAP ERP 專案導入與維護工作
2.熟悉零售通路作業流程，參與專案需求了解、分析及規畫解決方案"
【總管理處】SAP技術專員,三井日本料理餐廳有限公司_三井餐飲事業集團,面議,4年以上,台北市中山區,員工900人,,大學,"1.協助系統建置及導入
2.軟體程式開發與管理
3.SAP ABAP程式開發
4.SAP模組日常維運"
【總管理處】資訊技術專員,三井日本料理餐廳有限公司_三井餐飲事業集團,面議,3年以上,台北市中山區,員工900人,,大學,"1.協助系統建置及導入
2.軟體程式開發與管理
3.系統日常維運"
系統工程師【SACG】,聚碩科技股份有限公司,面議,1年以上,台北市內湖區,員工302人,上市上櫃,專科,協助業務銷售、規劃備份架構，並有建置能力、及售後維護能力
【研發替代役專區】軟體工程師,國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,碩士,"(1) 程式開發與設計
(2) Design, build, and maintain efficient, reusable, and reliable Java code
(3) Maintaining existing codebase, to include troubleshooting bugs and adding
new features
(4) Ensure the best possible performance, quality, and responsiveness of the
applications
(5) Hands¬on coding, system analysis, design, and delivery of projects assigned"
PHP工程師,樂覓互動科技股份有限公司,面議,2年以上,台北市松山區,員工20人,,專科,"樂覓正在打造一款獨特的活動與商家平台，並加入全新的商業營運模式，目前我們已與許多店家、活動、甚至大型連鎖商家完成合約。

因此我們希望招募充滿新創熱情的夥伴，共同為打造新平台而努力，如果你對於軟體開發有熱忱，喜歡充滿挑戰的新創環境，請加入我們一起努力！"
WEB前端工程師,樂覓互動科技股份有限公司,面議,1年以上,台北市松山區,員工20人,,專科,"樂覓正在打造一款獨特的活動與商家平台，並加入全新的商業營運模式，目前我們已與許多店家、活動、甚至大型連鎖商家完成合約。

因此我們希望招募充滿新創熱情的夥伴，共同為打造新平台而努力，如果你對於軟體開發有熱忱，喜歡充滿挑戰的新創環境，請加入我們一起努力！

職缺能力經歷要求:
1. 以 HTML、Javascript、CSS 設計網站前端開發工作，優化前端功能設計。
2. 具RWD (Responsive-Web-Design) 網站開發及各式版型模組化能力。
3. 負責網頁切版並與後端工程師協同開發網站。
4. 有版本控管觀念(SVN or Git)
5. 協同後端工程師整合Web API，協助進行平台界接及整合。

其他條件：
1. 一年以上網站前端開發實務經驗, 且備前端架構及模組分析設計能力
2. 擅長 HTML5, CSS3, Javascript, jQuery, Ajax, Bootstrap
3. 重視團隊合作及溝通, 具解決問題的獨立思考能力, 對前端技術有熱情且不斷自我提
升
4. 具備積極學習心及責任感, 會自我期許, 抗壓性高, 高執行力
5. 能配合UI / UX 視覺設計師、後端工程師協作，開發網頁前端互動式頁面
6. 應徵時請提供作品參考

員工是否需自備工具? (是/否) :
否 硬體需求可討論加購

薪資(月薪): Junior or經驗1~3年   35000~45000
               Senior or經驗4年以上 50000~60000
               自認前端開發加 UI / UX 高手 60000up"
【Asia Pacific Tax Centre】Tax Technology and Transformation – Manager and Senior Consultant,安永聯合會計師事務所,面議,3年以上,台北市信義區,員工1500人,,大學,"Types of projects you can expect to be involved in:
• Tax Function Evaluation and Optimization: Evaluate or optimize tax operation structure by assessing current state, benchmarking with leading practice, providing optimization solution options, etc.
• Process and Controls Enhancement: Re-design and deploy streamlined tax processes including new technology solutions with clear roles and responsibilities, standardized work processes, proper controls embedded to manage risks.
• Data and Systems Effectiveness: Embed the needs of Tax into Finance and IT systems to increase automation and data quality throughout tax processes; automate tax processing, tax compliance and reporting through various tax technologies.
• Risk Management: Assess and prioritize tax risks to establish a proper control environment that takes into account the various regulatory regimes.

To qualify, candidates should have:
• A bachelor’s degree in computer science or information systems and approximately 3-5 years of relevant work experience
• Good object-oriented design and coding skills in C#, VBA
• Experience and good working knowledge in the following areas:
o .Net Framework
o Development of front-end web pages - html, css, javascript, jquery, and common framework as bootstrap etc.
o MS SharePoint
o MS SQL Server - SQL, triggers, functions, stored procedures, the preparation of capacity.
o Computer science fundamentals
o Software engineering, project management knowledge and experience
o C/S and B/S model development
o Knowledge and experience in RPA software (e.g., Blue Prism, Automation Anywhere, UiPath) is a plus.
o Knowledge and experience in business intelligence software (e.g., Tableau, Alteryx, Qlik) is a plus.
• Strong leadership, attention to detail, problem-solving skills
• Excellent verbal and written communication skills in English and Mandarin
• Outgoing and proactive personality

We also seek candidates with a keen interest and experience in improving the performance of tax functions, the demonstrated ability to team with and motivate others, and willingness to develop meaningful and influential relationships with clients and colleagues. Experience in one or more of the following areas is a plus:
• Tax compliance and reporting
• Accounting and finance
• Development and/or implementation of tax technology
• Finance or tax performance improvement
• Experience in the development and/or implementation of tax technology solutions"
