jobName,companyName,salary,experience,place,companySize,special,school,description
(約聘)Hadoop資料工程師,中華系統整合股份有限公司,面議,1年以上,台北市大安區,員工115人,,大學,"1.大數據資料ETL及資料解析程式開發及維護(包含行動/寬頻瀏覽、行動位置資料、MOD收視及使用行為、WiFi使用行為、AI應用資料等) (ETL工具包含 VConsole、Kylo等)
2.大數據資料品質檢核程式開發與維護
3.大數據資料"
(約聘)ETL軟體工程師,中華系統整合股份有限公司,面議,1年以上,台北市大安區,員工115人,,大學,"1.資料倉儲ETL程式開發、維護及測試 (ETL工具包含 Automation、Trinity、 
DataStage等)
2. 資料品質檢核程式開發與維護
3.行動/固網/數據/企客等業務資料整備程式開發、維護及測試
4.大數據標籤程式"
系統工程師,薩摩亞商達博管理顧問有限公司,月薪 4萬元 至 5萬元,經歷不拘,台北市內湖區,員工50人,,學歷不拘,"工作內容：(需輪班)
1. 負責 IDC 機 Windows,Linux 業務服務器的配置，維護，監控，
調優，故障排除等
2. 大用戶量下高性能服務器系統部署方案的製定及實施
3. 保障服務器與數據庫安全，檢查並消除安全漏洞
4"
IoT 平台全端工程師/高級工程師 【台北】,神達電腦股份有限公司,面議,2年以上,台北市,員工1200人,上市上櫃,大學,"我們在打造一個物聯網平台，透過和各種感應設備、工廠製造設備連接，並串聯大數據分析，建構出智慧建築，工業4.0 所需之雲端平台。
 
我們在進行的項目：
1.用前端 Web framework （Angular, React），與 UI"
資料科學家/Data Scientist,香港商樂愛創新科技有限公司台灣分公司,面議,經歷不拘,台北市大同區,,,碩士,"工作描述：
RETChat Model Factory 模型工廠團隊協助客戶分析海量數據，創造價值。
主要工作內容是協助客戶透過數據分析商業問題，尋找數據驅動解決方案，並和客戶的經營團隊一起合作，根據客戶的商業模式，透過演算法建模等方法，協助"
資深C++ server 程式工程師,掌中乾坤網路科技股份有限公司,面議,3年以上,台北市中山區,員工150人,,專科,"1、負責手機遊戲服務器端架構設計、模塊劃分。 
2、負責手機遊戲服務器端程式邏輯開發和維護
3、精通c/c++，具有良好的物件導向思想，熟悉STL。 
4、熟悉windows平臺開發，網絡編程，ADO等。
5、精通MYSQL數據庫開發應用"
【薪優 福利佳】遊戲機率工程師,博發科技有限公司,面議,1年以上,台北市內湖區,,,專科,"工作內容：
1.熟悉遊戲邏輯設計及規劃
2.精熟排列組合、機率、統計、馬可夫矩陣
3.撰寫遊戲演算法、驗證機率模組
4.基本數據分析能力
5.良好的邏輯能力
6.對博彩產業有濃厚的興趣，能分析博彩遊戲數據分析並加以規劃"
SAP BI 系統工程師 (地點: 台北或南投),上緯企業股份有限公司,面議,經歷不拘,台北市大安區,,,大學,"1. 理解組織管理的需求，分析系統開發的可行性，並進行BI系統的數據建模與資料流設計。
2. 充分整合ERP模組資料與BI報表開發技術，及時滿足經營決策分析需要。
3. 監測及維護現行BI報表數據擷取及派送機制，確保資訊系統與管理報表的可用率。"
Internet Java工程師 (後端工程師),思納捷科技股份有限公司,面議,1年以上,台北市松山區,員工20人,,大學,"、樣式與實務，如測試撰寫與持續交付。
4.喜愛跨領域對話、協調與合作。
5.應用程式開發、大數據系統環境建置與維運、數據資料蒐集。"
【接案】物聯網的動態看板及報表,104外包網,面議,3年以上,台北市全部,,,,"1. 使用URL顯示HTML5動態曲線，詳如附件所示。
2. 以PDF或HTML文檔輸出，內容包括上述的動態曲線。
3. 簡易的管理系統，包括新增新增及移除數據。
4. 說明：全部的動態數據已儲存在Dropbox, 或採Node.js取得"
資訊部-軟體工程師,燦星國際旅行社股份有限公司,面議,2年以上,台北市內湖區,員工550人,上市上櫃,專科,"1.ERP系統整合與開發。
2.熟悉SQL與Oracle資料庫。
3.熟.NET、C#。
4.有數據分析相關基礎 
5.對ETL,DW,BI有興趣
6.具財務會計系統維護經驗尤佳(powerbuilder)"
Java軟體工程師,台北數位集團_台北數位廣告股份有限公司,面議,1年以上,台北市南港區,員工230人,,大學,"系統開發。
4.大數據及機器學習應用系統開發。"
Node.js系統開發工程師,北祥股份有限公司,面議,1年以上,台北市內湖區,員工150人,,大學,"AI、大數據相關創新部門職缺
需了解 RESTful API 及Node.js express 開發經驗
1. 資料庫建置/規劃、系統開發
2. 與客戶討論需求及溝通
3.主管交辦其他專案事項"
軟體測試工程師,科智企業股份有限公司,面議,1年以上,台北市中山區,員工25人,,大學,"1. 測試案例設計與撰寫
 2. 系統各項功能測試與驗證
 3. 問題回報、追蹤與驗證
 4. 前後台數據驗證
 5. 相關文件撰寫"
software engineer,微風廣場實業股份有限公司,面議,4年以上,台北市信義區,員工1000人,,大學,"1.微風會員系統開發。
2.微風會員O2O解決方案技術開發。
3.微風會員數據分析程式開發。
4.程式開發及單元測試。
5.系統維運。"
web developer,微風廣場實業股份有限公司,面議,4年以上,台北市信義區,員工1000人,,大學,"1.微風會員系統開發。
2.微風會員O2O解決方案技術開發。
3.微風會員數據分析程式開發。
4.程式開發及單元測試。
5.系統維運。"
資訊安全管理人員/敦北,仁大資訊股份有限公司,面議,1年以上,台北市松山區,員工500人,,大學,"1.系統帳號權限設定作業。
2.系統安全維護與管理作業。
3.資安專案參與及協助。
4.資安數據彙整與報表產出。
5.資安自行查核作業。"
資深軟體工程師,崇越科技股份有限公司,面議,5年以上,台北市內湖區,員工450人,上市上櫃,專科,"1. 技術研發與資訊應用系統架構設計。
2. 企業 Web 應用程式維護與開發。
3. 軟體專案應用系統開發。
* 有行動裝置應用開發與數據應用整合經驗者尤佳。"
分析工程師【明基BenQ雲端創新中心】,明基電通股份有限公司,面議,經歷不拘,台北市內湖區,員工1300人,,大學,"1.電子商務相關的數據分析
2.開發人因工程, 行為趨勢研究相關的演算法與工具
3.開發社群媒體行銷相關的演算法與工具"
軟體工程師,O-Bank_王道商業銀行股份有限公司,面議,2年以上,台北市內湖區,員工700人,,大學,"1.行內管理系統規劃, 開發, 測試, 維護, 及相關文件製作
2.製作/彙整 專案/需求/預算 監控報表，及相關數據分析"
MovieCool 資料工程師,雲深創新股份有限公司,月薪 5萬元 至 7萬5仟元,3年以上,台北市中正區,,,專科,"MovieCool https://moviecool.asia/
1. 負責主導專案、分析客戶數據，協助產品工程開發。
2. 熟悉 Node.js (ES6+) 、Python (both 2.7 and 3.6)、Java 程式語言"
C#程式設計師,廣晉軟體股份有限公司,月薪 3萬4仟元 至 5萬元,1年以上,台北市大安區,員工30人,,專科,"主要做C#軟體專案 (不是人力派遣),
有高手負責帶著做,
多數做web系統,搭配主流框架
需熟SQL語法
懂Entity / MVC / jquery / RESTful 為佳
(如果能力不錯,可順便學數據分析)"
Hadoop軟體工程師(T48),關貿網路股份有限公司,依公司規定,2年以上,台北市南港區,員工470人,上市上櫃,大學,"1. 雲端大數據資料視覺化分析平台研發。
2. Hadoop-based應用系統開發維護及專案支援。
3. 巨量資料處理及ETL架構規劃及開發。
4. Big Data關鍵技術研究發展。"
助理工程師(約聘),Gorilla Technology Group_大猩猩科技股份有限公司,面議,經歷不拘,台北市內湖區,員工220人,,專科,"1. 資料蒐集. 
2.     建立與管理社群網路資料. 
2. 大數據資料分析及驗證
3.     能主動積極完成專案任務及主管交辦工作"
"Data Backend Engineer (台北, 台南, 高雄)",潮網科技股份有限公司,面議,經歷不拘,台北市中正區,員工60人,,大學,"1. 架構數據資料倉儲系統及開發大數據平台，提供內、外部團隊的資訊可視化。
2. 使用cloud-base distributed computing systems、Spark、Hadoop等大數據工具。
3. 與應用程式開發和數據分析團隊"
研發中心專任研究助理 (資料分析，熟R或Python等任一工具),意藍資訊股份有限公司,依公司規定,經歷不拘,台北市大安區,員工75人,,大學,"，例如R/Python，能自我學習，獨立完成工作
3. 了解演算法或產業知識更佳 (金融數據、電商零售數據、廣告數據、社群數據)

此為全職工作，依科技部參考標準以上敘薪，一年一任，期滿可再續。適合準備深造進修、或有意踏入此領域的人。"
新創廣告行團隊 後端工程師(F26),精英人力資源股份有限公司,面議,3年以上,台北市信義區,,,專科,"【工作內容】
維護管理網站後台系統
根據公司政策開發新需求、設計新架構
協助業務和優化師整合數據
撰寫測試與設定自動化佈署流程"
107年研發替代役/應屆畢業生-SSD韌體設計工程師- 全閃存陣列產品事業處 (台北),光寶科技股份有限公司,面議,經歷不拘,台北市內湖區,員工55000人,上市上櫃,碩士,"1. 設計 SSD（固態硬碟）韌體核心架構，使效能最佳化
2. 測試 SSD 產品、分析數據
3. 跨部門合作

※歡迎民國82年12月31日前出生之役男、應屆碩士畢業生投遞"
資訊專案經理,崇越科技股份有限公司,依公司規定,8年以上,台北市內湖區,員工450人,上市上櫃,專科,"1.  技術研發與資訊應用系統架構設計。
2.  軟體專案與企業 Web 應用專案規劃與管理。
3.  有電子商務網站規劃／行動裝置應用開發／數據應用整合經驗者佳。"
研發替代役-金融科技軟體研發工程師 (人工智慧),(總公司)南山人壽保險股份有限公司,面議,經歷不拘,台北市信義區,員工4000人,,大學,進行投資流程及數據分析，運用深度學習、機器學習及自然語言處理，逐步開發投資管理相關的建模、訓練及預測
軟體開發工程師,好口杯股份有限公司,面議,經歷不拘,台北市松山區,員工7人,,學歷不拘,"1. 電子商務行銷平台協助開發 
2. 訂單管理系統協助開發 
3. Android、Apple應用程式協助開發 
4. 數據分析協助 
5. 伺服器協助維護"
AI人工智能工程師(內湖),鴻海精密工業股份有限公司,面議,3年以上,台北市內湖區,,上市上櫃,大學,"1. 負責大數據團隊人機互動系統，特別在圖像識別，語義理解，語音識別，智能對話        
2. 特別在物聯網為基礎上，開發相關的AI智能算法"
後端開發工程師Backend Engineer(內湖),鴻海精密工業股份有限公司,面議,3年以上,台北市內湖區,,上市上櫃,大學,負責大數據團隊後端資料庫程式開發 ，主要以後端資料庫開發為主，並且將平台後端架構做規劃，提出整體的後台架構，實做後台架構
VBA 工程師,眾匯智能健康股份有限公司,依公司規定,2年以上,台北市南港區,員工40人,,專科,"1. 利用VBA程式語言將excel的資料欄位做檢查
2. 協助機構Troubleshoot有問題的數據 
3. 協助各機構報告的整理與問題回饋 
4. 機構報告管理
5. 其他主管交辦事項"
chatbot開發工程師,好口杯股份有限公司,面議,2年以上,台北市松山區,員工7人,,學歷不拘,"1. 揪團機器人系統開發維護 
2. 訂單管理系統開發維護 
3. Android、Apple應用程式開發 
4. 數據分析協助 
5. 伺服器協助維護"
【接案】Nordic BLE程式開發,104外包網,面議,經歷不拘,台北市全部,,,,"1.請接案方進行Nordic BLE程式開發
2.Nordic Bluetooth手環連接與數據上傳接收
3.可在家接案
4.歡迎有相關經驗能力者提案洽談"
Java軟體工程師,台北數位集團_台北數位廣告股份有限公司,面議,1年以上,台北市南港區,員工230人,,大學,"系統開發。
4.大數據及機器學習應用系統開發。"
資訊部-軟體工程師,燦星國際旅行社股份有限公司,面議,2年以上,台北市內湖區,員工550人,上市上櫃,專科,"1.ERP系統整合與開發。
2.熟悉SQL與Oracle資料庫。
3.熟.NET、C#。
4.有數據分析相關基礎 
5.對ETL,DW,BI有興趣
6.具財務會計系統維護經驗尤佳(powerbuilder)"
Node.js系統開發工程師,北祥股份有限公司,面議,1年以上,台北市內湖區,員工150人,,大學,"AI、大數據相關創新部門職缺
需了解 RESTful API 及Node.js express 開發經驗
1. 資料庫建置/規劃、系統開發
2. 與客戶討論需求及溝通
3.主管交辦其他專案事項"
軟體測試工程師,科智企業股份有限公司,面議,1年以上,台北市中山區,員工25人,,大學,"1. 測試案例設計與撰寫
 2. 系統各項功能測試與驗證
 3. 問題回報、追蹤與驗證
 4. 前後台數據驗證
 5. 相關文件撰寫"
software engineer,微風廣場實業股份有限公司,面議,4年以上,台北市信義區,員工1000人,,大學,"1.微風會員系統開發。
2.微風會員O2O解決方案技術開發。
3.微風會員數據分析程式開發。
4.程式開發及單元測試。
5.系統維運。"
web developer,微風廣場實業股份有限公司,面議,4年以上,台北市信義區,員工1000人,,大學,"1.微風會員系統開發。
2.微風會員O2O解決方案技術開發。
3.微風會員數據分析程式開發。
4.程式開發及單元測試。
5.系統維運。"
資訊安全管理人員/敦北,仁大資訊股份有限公司,面議,1年以上,台北市松山區,員工500人,,大學,"1.系統帳號權限設定作業。
2.系統安全維護與管理作業。
3.資安專案參與及協助。
4.資安數據彙整與報表產出。
5.資安自行查核作業。"
資深軟體工程師,崇越科技股份有限公司,面議,5年以上,台北市內湖區,員工450人,上市上櫃,專科,"1. 技術研發與資訊應用系統架構設計。
2. 企業 Web 應用程式維護與開發。
3. 軟體專案應用系統開發。
* 有行動裝置應用開發與數據應用整合經驗者尤佳。"
chatbot開發工程師,好口杯股份有限公司,面議,2年以上,台北市松山區,員工7人,,學歷不拘,"1. 揪團機器人系統開發維護 
2. 訂單管理系統開發維護 
3. Android、Apple應用程式開發 
4. 數據分析協助 
5. 伺服器協助維護"
