jobName,companyName,salary,experience,place,companySize,special,school,description
Data Scientist,捷思遊戲科技有限公司,面議,5年以上,台北市內湖區,員工80人,,碩士," content. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high"
<美商>Digital Product Manager (995),"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",面議,6年以上,台北市內湖區,,,大學," technologies to boost sales and user experience.
7.Propose solutions to stakeholders with adequate feasibility and ROI analysis"
"資訊部_數位化產品經理(Manager, Digital Product )",NU SKIN_美商如新華茂股份有限公司台灣分公司,面議,5年以上,台北市內湖區,員工200人,外商公司,大學," ROI analysis.
8.Demonstrate your solution though rapid prototype to ensure smooth communication with key stakeholders.
9"
IT Business Analyst,台灣飛利浦股份有限公司,面議,3年以上,台北市南港區,員工350人,外商公司,大學," as IT applications etc.
•Document and analyze business requirements including perform fit/gap analysis, create and design"
"AW-Digital Product Manager (需熟悉Axure, Agile)",新加坡商立可人事顧問有限公司台灣分公司,面議,3年以上,台北市內湖區,,外商公司,大學," technologies to boost sales and user experience.
7.Propose solutions to stakeholders with adequate feasibility and ROI analysis"
系統分析專案管理,智網通科技股份有限公司,面議,3年以上,台北市大安區,員工27人,,學歷不拘,"這是我們需要的能力:
1.願意傾聽客戶的需求，了解客戶的問題!!
2.針對客戶的需求與問題，能夠提供多個解決方案，並協助客戶評估各項方案的優缺點!!
3.將解決方案轉化為系統分析、設計文件，並且帶領開發團隊完成解決方案的建置!!
4.協助開發團隊以高效率、高品質完成系統建置作業!!
5.指導或協助客戶透過系統解決問題!!
具有上述能力的高手們，如果您願意，請與我們聯繫!!
看看這裡是否能成為您新的舞台!!"
軟體開發工程師,宇鴻系統科技股份有限公司,面議,2年以上,台北市中山區,員工15人,,專科,"1.負責系統程式設計設計、程式撰寫與維護，並進行軟體的測試與修改，以及控管軟體設計進度。
2. 以目標為取向，工作態度積極、負責，願意主動學習並重視團隊合作，具跨部門溝通能力，共同合作完成測試計劃，測試案例，軟體測試環境架設、執行軟體測試工作，完成軟體測試報告及錯誤追蹤管理及驗證。"
前端程式設計師 月薪5-8萬,塞席爾商科技樹有限公司台灣分公司,面議,2年以上,台北市內湖區,員工20人,,專科,"1. 前端網頁套版、平台與WebSite建置與維護。
2. 與UI/UX Designers、後端技術團隊協作。
3. 俱Partner與後端系統API串接經驗者佳。
4. 俱NoSQL DB相關程式開發經驗者佳。"
JAVA 系統分析師-F22R,精誠資訊股份有限公司,面議,3年以上,台北市內湖區,員工2000人,上市上櫃,專科,"「F22R-數位金融整合服務處」為大型專業金融交易系統整合與開發技術團隊，擁有完整金融交易系統領域知識，以及專業的跨平台技術整合與軟體開發能力，對新進同仁有完整的教育訓練及指導員制度，歡迎對金融領域有興趣，且對技術有熱情的朋友加入。

工作內容與技術需求
1. 需求分析與管理
2. 系統分析與設計
3. 熟 Angular、Java 以及資料庫系統者佳
4. 具備金融交易系統開發經驗者佳"
2018 Summer Intern - DevOps Engineer,香港商雅虎資訊股份有限公司(Yahoo!奇摩),面議,經歷不拘,台北市南港區,員工1200人,外商公司,學歷不拘,"About us
We deliver products to market that are used by millions in their everyday lives.  We offer a fun and collaborative environment and we solve difficult problems.  Come join the Yahoo! Search Production Engineering (PE) team!  

About you 
You are an engineer who is passionate about solving tough problems and you have a lot of great ideas. You are interested in improving existing solutions as well as finding new problems to solve. You love learning new technologies and and you’re not afraid to ask questions.  You want to try new things and build systems that will leave their mark on Yahoo and improve the user experience for many years to come.
 
Your day
As an intern in the Yahoo! Search PE team, you will work with some of the brightest and most talented engineers around the world on both important and exciting projects.  You will be able to participate in many special events such as marathon programming contests, known as Hackdays, architectural review meetings where your input will shape Yahoo, and attend lectures given by some of the foremost experts in their field.   On a daily basis you will drive your innovations and gain valuable industry experience.  You will also have full access to as much free drinks, snacks, and meals as you want.

You must have
Skills and experiences
Experience with Linux administration, monitoring and system tuning.
An understanding of Unix/Linux system internals and network protocols (TCP/IP).
Experience in troubleshooting application and networking issues.
Solid design and implementation skill on Python and shell scripts.
Machine learning

Preferred qualifications 
- Experience with build, deploy, and version control technologies such as Docker, Chef, Jenkins, Git, etc. is a plus.
- Experience in building or maintaining security systems.
- Able to implement new ideas quickly
- Security know-how on Operation system, network and application 

Competencies  
Proactive, good problem solving skills, and a team player. Superb communication skills and interpersonal skills while working with cross-cultural teams."
