jobName,companyName,salary,experience,place,companySize,special,school,description
Data Engineer (Data Flow System and Architecture),國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,大學,"- Use Spark (RDD, dataframe) to process data from various data source
- Design and implement ETL microservice APP
- Develop"
【Software Engineer】Data Engineer / 資料工程師,瑞嘉軟體科技股份有限公司,面議,1年以上,台北市內湖區,員工180人,,大學,•  Design and implement software systems and tools for internal process automation based on data mining and machine
Big Data 軟體工程師_6934,和碩集團_和碩聯合科技股份有限公司,依公司規定,經歷不拘,台北市北投區,員工6000人,,碩士,"Data Engineer Responsibilities:
1. Deliver large-scale, high performance production systems
2. Ensure data quality"
I3901 Data Scientist 資料科學家,遠傳電信股份有限公司,面議,3年以上,台北市內湖區,員工6300人,上市上櫃,大學,"1. Focus on data analyze by statistics and mining or machine learning methods
2. Research and evaluate pioneering machine"
(LTEG) Data Engineer,LINE Taiwan_台灣連線股份有限公司,依公司規定,經歷不拘,台北市內湖區,,,大學,"[About this Job] 
We are looking for a savvy Data Engineer with technical backgrounds in data system and platform"
Big Data Analytics,雲派科技有限公司,面議,6年以上,台北市內湖區,,,碩士,"Develop the algorithm of Big Data Analytics support and cloud application

發展遠景：Leading business model of Big Data"
Big Data Analytics Engineer,奕兆有限公司,面議,3年以上,台北市信義區,,,大學,"Big Data Engineer with experience on Analytics Services, Spark, Python, and Scala code development.Should be able to do end"
Senior Data Analyst,Gogoro Taiwan Limited_睿能創意股份有限公司,面議,5年以上,台北市松山區,員工900人,,大學,Gogoro is seeking a senior Data Analysis to support Gogoro. The senior data analysis will be responsible for the
Lead Data Scientist,撼訊科技股份有限公司,面議,經歷不拘,台北市南港區,員工240人,上市上櫃,大學,"Make scientific research and analysis of suitable approaches 
Build models and machine-learning algorithms
Collaborate with engineering and product development teams
Propose solutions and strategies
Build the own team and lead it
Present results and scientific information about project
Presenting on conferences"
Machine Learning Data Scientist,英屬開曼群島商鼎峰智能股份有限公司,月薪 9萬元 至 15萬元,經歷不拘,台北市信義區,,,碩士,". Experience in analyzing and extracting valuable information from large amounts of data 
3. Lead the software engineering"
Data Scientist / Quantitative Researcher,洪量科技有限公司,面議,1年以上,台北市信義區,,,高中以下,"Job Title: Data Scientist / Quantitative Researcher
Company: HLX Technology
Compensation: up to 2.3 million TWD per year"
